Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YCR065W,0.008752967,0.007732293,0.134511484
YCR066W,0.006716173,0.019685263,0.01933371
YCR067C,0.028058227,0.005250137,0.076176631
YCR068W,0.002066068,0.011801801,NA
YCR069W,0.091220254,0.04738953,0.232855796
YCR071C,0.056059559,0.051862611,0.492851417
YCR072C,0.077278033,0.019838955,0.316663864
YCR073C,0.005355994,0.003694795,0.001811043
YCR073W-A,0.217732272,0.011742635,0.12018185
YCR075C,0.022896788,0.032340201,0.177881893
YCR077C,0.101562878,0.016648722,0.277137276
YCR079W,0.020800758,0.008322843,0.002143981
YCR081W,0.002817428,0.003908076,0.005073129
YCR082W,0.188711142,0.128403482,3.19073836
YCR083W,0.069876897,0.087451916,0.409753738
YCR084C,0.077286254,0.022473501,0.293786329
YCR086W,0.020428621,0.012843951,0.082180473
YCR088W,0.094884125,0.028150709,0.839253765
YCR089W,0.004899183,0.003366735,0.000549925
YCR091W,0.002425795,0.010174921,NA
YCR092C,0.004652664,0.004303231,0.021511791
YCR093W,0.00796796,0.002591183,0.05226997
YCR094W,0.012187178,0.027980363,0.105588683
YCR096C,0.067620856,0.163427874,NA
YCR097W,0.031656899,0.113783641,2.959619246
YCR098C,0.005056872,0.036524358,0.003203893
YCR104W,0.149299404,1.363689632,NA
YCR105W,0.007760062,0.043238681,NA
YCR106W,0.000817891,0.004403719,0.001893792
YCR107W,0.001543153,0.024408044,NA
YDL001W,0.0238909,0.016399416,0.118668685
YDL002C,0.045024281,0.032948898,1.209404452
YDL003W,0.043049289,0.013908843,0.318125461
YDL004W,0.21210941,0.249501439,3.836400551
YDL005C,0.037500501,0.016842877,0.249575426
YDL006W,0.01794973,0.047109346,0.510532345
YDL007W,0.362039996,0.026525691,5.265291923
YDL008W,0.098137659,0.126704531,0.474562948
YDL010W,0.043173055,0.027646638,0.346821789
YDL013W,0.012508985,0.01095858,0.087882221
YDL014W,0.894921772,0.288187561,27.59893887
YDL015C,0.28082948,0.085109189,7.313988446
YDL017W,0.014279364,0.022856433,0.039677992
YDL018C,0.024002096,0.086521146,0.47209057
YDL019C,0.03318583,0.004865752,0.035037888
YDL020C,0.01199125,0.007817705,0.422743798
YDL021W,0.004696385,0.044105082,0.009038361
YDL022W,0.6184187,0.208123333,0.518990248
YDL024C,0.005396862,0.015409078,NA
YDL028C,0.003840866,0.006633281,0.028268417
